,End Window Size,Encoder Layer 1 Units,Encoder Layer 2 Units,Decoder Layer 1 Units,Decoder Layer 2 Units,Train Error,Validation Error,Test Error
0,16.0,16.0,8.0,16.0,8.0,0.0258775883887,0.000230616602089,0.000248600833445
1,16.0,16.0,8.0,16.0,16.0,0.0268750653982,0.000261245269073,0.00025051677048
2,16.0,16.0,8.0,32.0,16.0,0.0285600993212,0.000246382322826,0.000258174624168
3,16.0,16.0,16.0,16.0,8.0,0.0286668140645,0.000328722579907,0.000313419121085
4,16.0,16.0,16.0,16.0,16.0,0.0289188763286,0.000260077705856,0.000251587146306
5,16.0,16.0,16.0,32.0,16.0,0.0267297265668,0.000290282574641,0.000273168530955
6,16.0,32.0,16.0,16.0,8.0,0.0266049862767,0.000191993156304,0.000177385244613
7,16.0,32.0,16.0,16.0,16.0,0.0267464513298,0.000258386022844,0.000252706555387
8,16.0,32.0,16.0,32.0,16.0,0.0273143330173,0.00026133460536,0.000273416716872
9,32.0,16.0,8.0,16.0,8.0,0.027762302857,0.000192979301792,0.000208649699334
10,32.0,16.0,8.0,16.0,16.0,0.0312788003039,0.000338621109491,0.00030099395215
11,32.0,16.0,8.0,32.0,16.0,0.0341178402561,0.000303549451753,0.000320408023445
12,32.0,16.0,16.0,16.0,8.0,0.0353284931885,0.000310058253119,0.000278682508729
13,32.0,16.0,16.0,16.0,16.0,0.0371118987233,0.000409309543669,0.000390673336963
14,32.0,16.0,16.0,32.0,16.0,0.0287282458579,0.00037985845888,0.000347046434334
15,32.0,32.0,16.0,16.0,8.0,0.0325911981935,0.000348297296325,0.000338836807518
16,32.0,32.0,16.0,16.0,16.0,0.0343001436795,0.00032464272948,0.000353714273556
17,32.0,32.0,16.0,32.0,16.0,0.03111049761,0.000348129752558,0.000328146329148
18,64.0,16.0,8.0,16.0,8.0,0.0311421215399,0.000362406763044,0.000397926091378
19,64.0,16.0,8.0,16.0,16.0,0.0304944089618,0.000359792004877,0.000380157677379
20,64.0,16.0,8.0,32.0,16.0,0.0342761752974,0.00037647486069,0.000418048883236
21,64.0,16.0,16.0,16.0,8.0,0.032129982458,0.000327798503127,0.000355666414596
22,64.0,16.0,16.0,16.0,16.0,0.0362311222837,0.000333068700227,0.000310070861209
23,64.0,16.0,16.0,32.0,16.0,0.0339540917767,0.000279577760351,0.000289301299485
24,64.0,32.0,16.0,16.0,8.0,0.0297619184191,0.00034908271973,0.000348413146866
25,64.0,32.0,16.0,16.0,16.0,0.0329389840941,0.000351471537052,0.000336910347617
26,64.0,32.0,16.0,32.0,16.0,0.0295425835997,0.000429159855163,0.000447402407142
