,Exogenous Window size,Endogenous Window size,Train Error,Validation Error,Test Error
0,8.0,8.0,0.159359478755,0.168246348267,0.186011893378
1,8.0,32.0,,0.999465480669,1.02295161164
2,8.0,64.0,,1.00113261296,1.0005228621
3,8.0,128.0,,1.00130744156,0.996098074294
4,16.0,8.0,0.276025328366,0.254084942972,0.275262230548
5,16.0,32.0,0.349963387191,0.313732872703,0.348895057057
6,16.0,64.0,0.627511009617,0.556401146834,0.589926788984
7,16.0,128.0,0.67849167339,0.664482533932,0.712729341656
8,32.0,8.0,0.339504167388,0.307248319708,0.312580607233
9,32.0,32.0,0.365708180951,0.370121468804,0.341232559977
10,32.0,64.0,0.612054965523,0.590157801371,0.607222081555
11,32.0,128.0,0.663287611975,0.636227626292,0.644053375448
12,128.0,8.0,0.432427990225,0.448078683165,0.407166668477
13,128.0,32.0,0.469186740216,0.454066107996,0.477739298389
14,128.0,64.0,0.645989904483,0.587935940164,0.615183886226
15,128.0,128.0,0.710642764707,0.740278562561,0.702662074839
