,Window size,Kernel Type,Train Error,Validation Error,Test Error
0,8,poly,0.158984924458,0.194901676972,0.193178189921
1,16,poly,0.428059070121,0.852813242543,0.856407480459
2,64,poly,0.154593284234,0.777947581818,0.763827792704
3,128,poly,0.148871918895,0.961081839334,0.976448141932
4,256,poly,0.127587123283,0.990006823985,0.967311041848
5,512,poly,0.10999952743,1.03847267713,0.993768544449
6,8,rbf,0.0461185775853,0.648565599082,0.579504195054
7,16,rbf,0.0910096096177,0.938004105434,0.968069811085
8,64,rbf,0.0926330573687,1.02330737593,1.0029359153
9,128,rbf,0.0917489601442,1.02563172873,0.969710479427
10,256,rbf,0.0905473528709,1.00478244744,1.01004490436
11,512,rbf,0.0921026821275,1.00442592224,0.983346140506
